year,game number,white,black,white num moves,black num moves,white ACPL,black ACPL,combined ACPL,ECO,opening,WC
1889,15,"Chigorin, Mikhail","Steinitz, William",36,36,40.75,36.361111111111114,77.11111111111111,C52,"Italian Game: Evans Gambit, Slow Variation",Wilhelm Steinitz
1889,16,"Steinitz, William","Chigorin, Mikhail",52,51,27.51923076923077,34.372549019607845,61.89177978883862,A04,Zukertort Opening: Dutch Variation,Wilhelm Steinitz
1889,17,"Chigorin, Mikhail","Steinitz, William",70,70,23.614285714285714,22.214285714285715,45.82857142857143,C52,"Italian Game: Evans Gambit, Slow Variation",Wilhelm Steinitz
1890,1,"Steinitz, William","Gunsberg, Isidor",25,25,28.08,25.68,53.76,D35,Queen's Gambit Declined: Normal Defense,Wilhelm Steinitz
1890,2,"Gunsberg, Isidor","Steinitz, William",40,40,31.125,16.975,48.1,C62,Ruy Lopez: Steinitz Defense,Wilhelm Steinitz
1890,3,"Steinitz, William","Gunsberg, Isidor",27,27,15.296296296296296,15.592592592592593,30.88888888888889,D31,Semi-Slav Defense: Accelerated Move Order,Wilhelm Steinitz
1890,4,"Gunsberg, Isidor","Steinitz, William",57,55,27.17543859649123,35.163636363636364,62.33907496012759,C50,"Italian Game: Giuoco Pianissimo, Normal",Wilhelm Steinitz
1890,5,"Steinitz, William","Gunsberg, Isidor",28,27,38.857142857142854,17.37037037037037,56.22751322751323,D20,Queen's Gambit Accepted: Old Variation,Wilhelm Steinitz
1890,6,"Gunsberg, Isidor","Steinitz, William",42,43,38.95238095238095,29.13953488372093,68.09191583610188,D00,Queen's Pawn Game,Wilhelm Steinitz
1890,7,"Steinitz, William","Gunsberg, Isidor",28,27,16.071428571428573,28.074074074074073,44.145502645502646,D26,"Queen's Gambit Accepted: Normal Variation, Traditional System",Wilhelm Steinitz
1890,8,"Gunsberg, Isidor","Steinitz, William",36,35,14.61111111111111,15.114285714285714,29.725396825396825,C53,"Italian Game: Classical Variation, Giuoco Pianissimo",Wilhelm Steinitz
1890,9,"Steinitz, William","Gunsberg, Isidor",80,79,21.9375,22.810126582278482,44.747626582278485,A46,Yusupov-Rubinstein System,Wilhelm Steinitz
1890,10,"Gunsberg, Isidor","Steinitz, William",43,43,30.46511627906977,25.069767441860463,55.53488372093023,C53,"Italian Game: Classical Variation, Giuoco Pianissimo",Wilhelm Steinitz
1890,11,"Steinitz, William","Gunsberg, Isidor",28,28,8.857142857142858,7.214285714285714,16.071428571428573,D05,Queen's Pawn Game: Colle System,Wilhelm Steinitz
1890,12,"Gunsberg, Isidor","Steinitz, William",24,23,36.208333333333336,45.43478260869565,81.64311594202898,C52,"Italian Game: Evans Gambit, Slow Variation",Wilhelm Steinitz
1890,13,"Steinitz, William","Gunsberg, Isidor",40,39,39.375,54.743589743589745,94.11858974358975,A46,Yusupov-Rubinstein System,Wilhelm Steinitz
